order_id,customer_id,order_date,total_amount,status,city
10001,1092,2023-08-20,36578.02,Cancelled,Lucknow
10002,1414,2022-05-11,51607.98,Delivered,Ahmedabad
10003,1379,2023-07-17,15711.69,Delivered,Surat
10004,1721,2023-07-28,698.45,Delivered,Pune
10005,1113,2022-10-16,44624.83,Delivered,Indore
10006,1443,2023-12-21,21333.65,Delivered,Pune
10007,1729,2023-01-27,21481.34,Shipped,Nashik
10008,1559,2022-08-05,50854.54,Shipped,Indore
10009,1143,2022-07-12,30262.59,Delivered,Ludhiana
10010,1861,2023-03-04,43993.79,Delivered,Patna
10011,1138,2022-01-12,16621.26,Delivered,Lucknow
10012,1148,2023-05-14,8009.35,Delivered,Delhi
10013,1087,2022-05-21,25267.57,Shipped,Agra
10014,1881,2023-04-12,22438.77,Cancelled,Bangalore
10015,1953,2023-03-12,10651.75,Shipped,Vadodara
10016,1522,2023-03-11,19091.35,Shipped,Nashik
10017,1394,2022-12-30,6132.76,Shipped,Lucknow
10018,1620,2022-01-08,88733.66,Delivered,Ahmedabad
10019,1730,2023-05-29,13361.36,Cancelled,Hyderabad
10020,1591,2023-01-11,17800.82,Delivered,Jaipur
10021,1582,2023-05-10,51715.00,Delivered,Delhi
10022,1595,2023-05-09,28681.58,Delivered,Bangalore
10023,1146,2023-06-24,11564.84,Delivered,Chennai
10024,1477,2023-06-14,68726.78,Cancelled,Bangalore
10025,1091,2022-09-09,24009.60,Delivered,Ludhiana
10026,1701,2023-10-11,32303.80,Cancelled,Delhi
10027,1320,2023-09-20,48227.54,Delivered,Pune
10028,1548,2022-01-12,70366.24,Cancelled,Lucknow
10029,1928,2023-04-26,45961.69,Delivered,Kolkata
10030,1432,2022-12-28,37970.35,Delivered,Agra
10031,1297,2022-06-21,4838.26,Cancelled,Agra
10032,1768,2022-11-08,20599.73,Cancelled,Surat
10033,1267,2022-03-04,57812.67,Cancelled,Surat
10034,1174,2023-08-10,59707.20,Delivered,Hyderabad
10035,1829,2023-10-02,70021.71,Shipped,Kolkata
10036,1085,2022-05-10,63130.94,Delivered,Faridabad
10037,1259,2022-05-16,22880.44,Delivered,Vadodara
10038,1879,2022-09-21,17534.83,Delivered,Bangalore
10039,1619,2022-06-28,8781.78,Delivered,Vadodara
10040,1675,2023-04-03,33906.32,Delivered,Ahmedabad
10041,1268,2023-12-19,18882.37,Delivered,Bangalore
10042,1819,2023-06-25,57711.93,Delivered,Hyderabad
10043,1087,2022-05-29,63133.01,Delivered,Agra
10044,1858,2023-05-23,46533.26,Shipped,Ahmedabad
10045,1789,2023-01-28,39409.88,Shipped,Nashik
10046,1744,2023-10-15,28820.52,Cancelled,Kolkata
10047,1752,2022-12-20,42105.74,Delivered,Surat
10048,1774,2022-04-29,64987.13,Shipped,Mumbai
10049,1409,2023-05-03,3964.20,Cancelled,Mumbai
10050,1240,2023-01-24,66415.33,Shipped,Surat
10051,1486,2022-09-26,65621.04,Shipped,Agra
10052,1013,2022-10-23,33657.09,Shipped,Nagpur
10053,1392,2023-11-26,33916.52,Cancelled,Lucknow
10054,1700,2022-02-12,70896.53,Cancelled,Bangalore
10055,1653,2022-12-29,48815.19,Shipped,Hyderabad
10056,1626,2023-10-30,105471.63,Delivered,Lucknow
10057,1277,2022-10-01,85945.46,Delivered,Nashik
10058,1671,2023-08-22,88266.46,Delivered,Patna
10059,1752,2023-11-20,21075.54,Delivered,Surat
10060,1533,2022-12-12,7609.20,Delivered,Agra
10061,1321,2023-07-15,4684.77,Delivered,Lucknow
10062,1852,2022-03-11,60271.53,Delivered,Jaipur
10063,1538,2022-04-17,58458.14,Delivered,Pune
10064,1225,2022-10-18,6680.68,Delivered,Kolkata
10065,1025,2023-09-27,72156.65,Cancelled,Agra
10066,1673,2022-08-11,51211.59,Delivered,Indore
10067,1726,2022-05-03,35364.22,Cancelled,Nashik
10068,1134,2023-01-20,93483.48,Cancelled,Ahmedabad
10069,1823,2022-07-09,11487.53,Delivered,Nagpur
10070,1260,2022-10-29,64001.51,Delivered,Indore
10071,1655,2023-04-10,61930.95,Delivered,Bhopal
10072,1788,2023-03-14,55879.96,Delivered,Patna
10073,1264,2022-06-15,18106.43,Delivered,Bangalore
10074,1796,2022-03-05,39672.02,Delivered,Ahmedabad
10075,1062,2022-09-22,36752.43,Delivered,Nagpur
10076,1183,2023-03-28,36992.02,Delivered,Surat
10077,1625,2023-02-07,20709.83,Shipped,Nashik
10078,1112,2022-05-28,39885.04,Shipped,Pune
10079,1224,2023-09-21,8338.00,Shipped,Mumbai
10080,1733,2022-09-23,61649.39,Delivered,Surat
10081,1073,2023-08-09,2135.05,Shipped,Nagpur
10082,1020,2023-05-25,83109.61,Delivered,Agra
10083,1956,2022-02-08,28352.52,Delivered,Agra
10084,1156,2023-12-18,33242.52,Shipped,Bhopal
10085,1589,2022-01-04,24425.60,Shipped,Indore
10086,1490,2023-03-23,6508.23,Delivered,Lucknow
10087,1554,2022-08-20,66464.39,Shipped,Bhopal
10088,1125,2023-08-04,78110.47,Delivered,Delhi
10089,1342,2023-11-30,5738.40,Delivered,Patna
10090,1648,2023-10-25,1843.12,Cancelled,Lucknow
10091,1874,2022-12-15,30023.49,Shipped,Pune
10092,1779,2022-10-24,53919.22,Delivered,Indore
10093,1568,2022-02-10,47374.99,Delivered,Jaipur
10094,1307,2023-12-14,36001.53,Delivered,Vadodara
10095,1646,2023-12-07,8813.94,Delivered,Ahmedabad
10096,1907,2023-10-10,42274.04,Delivered,Chennai
10097,1144,2022-02-06,14584.55,Cancelled,Jaipur
10098,1245,2023-05-16,39499.41,Cancelled,Lucknow
10099,1659,2022-11-12,55848.23,Shipped,Delhi
10100,1990,2022-01-17,93618.97,Delivered,Bhopal
10101,1346,2022-02-13,47799.33,Delivered,Patna
10102,1827,2023-11-01,43914.68,Shipped,Ahmedabad
10103,1963,2023-11-26,22345.31,Cancelled,Chennai
10104,1153,2023-08-17,17136.82,Delivered,Nashik
10105,1038,2022-05-25,14500.62,Delivered,Jaipur
10106,1483,2023-09-26,54925.83,Delivered,Ahmedabad
10107,1015,2022-06-26,9215.60,Delivered,Patna
10108,1841,2022-04-10,58226.24,Delivered,Lucknow
10109,1856,2023-08-29,47539.84,Delivered,Hyderabad
10110,1117,2023-05-25,68605.21,Cancelled,Mumbai
10111,1226,2022-03-06,1521.84,Shipped,Surat
10112,1346,2023-11-26,15467.42,Delivered,Patna
10113,2000,2023-12-02,67862.17,Delivered,Surat
10114,1330,2022-08-07,24814.34,Cancelled,Patna
10115,1178,2022-12-10,5297.49,Delivered,Vadodara
10116,1145,2023-03-02,14272.20,Delivered,Chennai
10117,1567,2022-06-18,3152.48,Cancelled,Lucknow
10118,1042,2022-05-17,23836.67,Cancelled,Hyderabad
10119,1386,2022-06-11,14002.10,Shipped,Kolkata
10120,1083,2022-01-07,70627.67,Delivered,Ahmedabad
10121,1724,2023-10-30,45644.49,Delivered,Nagpur
10122,1427,2023-12-12,8234.30,Shipped,Bangalore
