item_id,order_id,product_id,quantity,unit_price
50001,10001,3051,5,6245.66
50002,10001,3062,2,995.28
50003,10001,3017,3,1119.72
50004,10002,3028,1,3181.64
50005,10002,3041,5,7025.18
50006,10002,3048,4,3325.11
50007,10003,3021,2,5368.53
50008,10003,3023,3,1658.21
50009,10004,3014,5,139.69
50010,10005,3046,2,7701.62
50011,10005,3052,3,9740.53
50012,10006,3023,2,1658.21
50013,10006,3053,1,3472.07
50014,10006,3025,1,2144.12
50015,10006,3033,2,6200.52
50016,10007,3032,1,4321.01
50017,10007,3036,3,5720.11
50018,10008,3002,4,8781.78
50019,10008,3054,2,7863.71
50020,10009,3006,1,9141.20
50021,10009,3018,3,321.55
50022,10009,3053,3,3472.07
50023,10009,3052,1,9740.53
50024,10010,3056,1,6658.86
50025,10010,3025,4,2144.12
50026,10010,3024,3,9586.15
50027,10011,3003,2,8310.63
50028,10012,3007,1,8009.35
50029,10013,3032,2,4321.01
50030,10013,3048,5,3325.11
50031,10014,3018,3,321.55
50032,10014,3021,4,5368.53
50033,10015,3012,5,2130.35
50034,10016,3049,1,7944.07
50035,10016,3001,4,2786.82
50036,10017,3068,2,3066.38
50037,10018,3063,3,8882.89
50038,10018,3005,4,3803.74
50039,10018,3042,1,7907.91
50040,10018,3052,4,9740.53
50041,10019,3061,4,3340.34
50042,10020,3051,2,6245.66
50043,10020,3037,5,1061.90
50044,10021,3002,4,8781.78
50045,10021,3042,2,7907.91
50046,10021,3030,2,386.03
50047,10022,3055,4,5489.82
50048,10022,3012,2,2130.35
50049,10022,3057,2,1230.80
50050,10023,3027,2,5782.42
50051,10024,3015,1,6900.82
50052,10024,3002,4,8781.78
50053,10024,3034,3,8191.68
50054,10024,3037,2,1061.90
50055,10025,3013,3,3936.12
50056,10025,3050,3,4067.08
50057,10026,3015,2,6900.82
50058,10026,3026,4,2782.42
50059,10026,3059,4,1843.12
50060,10027,3067,1,2135.05
50061,10027,3047,4,5127.70
50062,10027,3062,2,995.28
50063,10027,3054,3,7863.71
50064,10028,3024,4,9586.15
50065,10028,3006,1,9141.20
50066,10028,3036,4,5720.11
50067,10029,3044,5,4804.81
50068,10029,3013,4,3936.12
50069,10029,3066,1,6193.16
50070,10030,3064,5,7594.07
50071,10031,3023,2,1658.21
50072,10031,3039,1,1521.84
50073,10032,3037,4,1061.90
50074,10032,3029,3,5450.71
50075,10033,3035,2,9738.45
50076,10033,3010,2,7776.78
50077,10033,3064,3,7594.07
50078,10034,3055,5,5489.82
50079,10034,3043,4,4586.50
50080,10034,3026,5,2782.42
50081,10035,3058,3,3320.24
50082,10035,3002,3,8781.78
50083,10035,3022,5,6743.13
50084,10036,3029,4,5450.71
50085,10036,3049,5,7944.07
50086,10036,3018,5,321.55
50087,10037,3036,4,5720.11
50088,10038,3026,4,2782.42
50089,10038,3067,3,2135.05
50090,10039,3002,1,8781.78
50091,10040,3030,3,386.03
50092,10040,3065,4,4583.45
50093,10040,3044,3,4804.81
50094,10041,3012,3,2130.35
50095,10041,3051,2,6245.66
50096,10042,3003,4,8310.63
50097,10042,3005,5,3803.74
50098,10042,3029,1,5450.71
50099,10043,3055,4,5489.82
50100,10043,3007,4,8009.35
50101,10043,3040,1,9136.33
50102,10044,3029,5,5450.71
50103,10044,3059,3,1843.12
50104,10044,3065,3,4583.45
50105,10045,3059,4,1843.12
50106,10045,3007,4,8009.35
50107,10046,3070,4,7205.13
50108,10047,3054,2,7863.71
50109,10047,3033,4,6200.52
50110,10047,3060,2,788.12
50111,10048,3009,5,7350.17
50112,10048,3048,3,3325.11
50113,10048,3039,5,1521.84
50114,10048,3012,5,2130.35
50115,10049,3008,2,1982.10
50116,10050,3061,5,3340.34
50117,10050,3022,3,6743.13
50118,10050,3015,3,6900.82
50119,10050,3002,1,8781.78
50120,10051,3050,3,4067.08
50121,10051,3003,4,8310.63
50122,10051,3038,4,4757.40
50123,10051,3031,1,1147.68
50124,10052,3005,4,3803.74
50125,10052,3030,3,386.03
50126,10052,3032,4,4321.01
50127,10053,3028,4,3181.64
50128,10053,3004,4,5297.49
50129,10054,3028,1,3181.64
50130,10054,3003,5,8310.63
50131,10054,3052,2,9740.53
50132,10054,3061,2,3340.34
50133,10055,3054,4,7863.71
50134,10055,3053,5,3472.07
50135,10056,3011,4,8238.17
50136,10056,3003,5,8310.63
50137,10056,3066,5,6193.16
50138,10057,3043,4,4586.50
50139,10057,3028,4,3181.64
50140,10057,3065,2,4583.45
50141,10057,3006,5,9141.20
50142,10058,3027,5,5782.42
50143,10058,3039,5,1521.84
50144,10058,3022,4,6743.13
50145,10058,3066,4,6193.16
50146,10059,3041,3,7025.18
50147,10060,3039,5,1521.84
50148,10061,3018,4,321.55
50149,10061,3016,1,3398.57
50150,10062,3055,4,5489.82
50151,10062,3010,4,7776.78
50152,10062,3070,1,7205.13
50153,10063,3051,1,6245.66
50154,10063,3027,4,5782.42
50155,10063,3024,2,9586.15
50156,10063,3008,5,1982.10
50157,10064,3061,2,3340.34
50158,10065,3066,5,6193.16
50159,10065,3011,5,8238.17
50160,10066,3063,5,8882.89
50161,10066,3016,2,3398.57
50162,10067,3042,1,7907.91
50163,10067,3027,4,5782.42
50164,10067,3030,1,386.03
50165,10067,3060,5,788.12
50166,10068,3040,5,9136.33
50167,10068,3034,3,8191.68
50168,10068,3022,2,6743.13
50169,10068,3052,1,9740.53
50170,10069,3069,1,9192.17
50171,10069,3031,2,1147.68
50172,10070,3039,3,1521.84
50173,10070,3003,3,8310.63
50174,10070,3015,5,6900.82
50175,10071,3058,1,3320.24
50176,10071,3004,5,5297.49
50177,10071,3049,3,7944.07
50178,10071,3023,5,1658.21
50179,10072,3025,5,2144.12
50180,10072,3001,5,2786.82
50181,10072,3048,2,3325.11
50182,10072,3034,3,8191.68
50183,10073,3066,2,6193.16
50184,10073,3036,1,5720.11
50185,10074,3010,5,7776.78
50186,10074,3060,1,788.12
50187,10075,3061,4,3340.34
50188,10075,3065,3,4583.45
50189,10075,3001,2,2786.82
50190,10075,3050,1,4067.08
50191,10076,3068,4,3066.38
50192,10076,3007,3,8009.35
50193,10076,3014,5,139.69
50194,10077,3066,3,6193.16
50195,10077,3012,1,2130.35
50196,10078,3058,1,3320.24
50197,10078,3006,4,9141.20
50198,10079,3020,4,2084.50
50199,10080,3006,2,9141.20
