year,month,total_orders,monthly_revenue
2022,1,229,9046039.86
2022,2,191,7100164.10
2022,3,203,7616466.52
2022,4,195,7400751.99
2022,5,250,9609963.17
2022,6,220,7999425.70
2022,7,244,9187102.04
2022,8,219,8412023.03
2022,9,202,6497313.18
2022,10,201,7642500.55
2022,11,182,6544748.18
2022,12,183,6557903.58
2023,1,199,7667281.29
2023,2,209,8130484.98
2023,3,234,9261287.50
2023,4,203,8346064.59
2023,5,216,8453906.64
2023,6,184,6961084.54
2023,7,206,7986905.33
2023,8,204,7619957.53
2023,9,186,6603933.64
2023,10,215,8636376.00
2023,11,205,7442004.99
2023,12,214,8016296.02
2024,1,6,340567.97
